[2016-09-19][17:05:16] name=¾ÅÖİÖ¤È¯ product=KCBP licensetype=0x12 expireddate=20161119 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x588030, password=
[2016-09-20][13:42:55] name=»ªĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20161220 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x3ba318, password=
[2016-09-20][13:43:28] name=»ªĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20161220 netaddress= thread#=0 cpu#=0, client#=0, function=0x6f, reserved=0, license=0x3ba318, password=
[2016-09-21][11:24:30] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x12 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x7580b0, password=
[2016-09-21][11:24:58] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x7580b0, password=
[2016-09-21][11:25:06] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x7580b0, password=
[2016-09-21][11:25:34] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0x2f, reserved=0, license=0x7580b0, password=
[2016-09-21][11:26:20] name=Î÷²Ø¶«·½²Æ¸»Ö¤È¯ product=KCBP licensetype=0x32 expireddate=20161201 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x7580b0, password=
[2016-09-21][15:04:15] name=»ªĞÅÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20170121 netaddress= thread#=0 cpu#=0, client#=0, function=0x40, reserved=0, license=0x3980b0, password=
[2016-09-22][14:46:23] name=Îäºº·ÉÏè product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x8280b0, password=
[2016-09-22][14:47:29] name=Îäºº·ÉÏè product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x8280b0, password=
[2016-09-22][14:48:21] name=Îäºº·ÉÏè product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x8280b0, password=
[2016-09-22][14:49:12] name=Îäºº·ÉÏè product=KCBP licensetype=0x12 expireddate=20161231 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x8280b0, password=
[2016-09-23][11:06:22] name=Îå¿óÖ¤È¯ product=KCBP licensetype=0x12 expireddate=20171001 netaddress= thread#=0 cpu#=0, client#=0, function=0x0, reserved=0, license=0x2d80b0, password=
[2016-09-23][11:06:47] name=Îå¿óÖ¤È¯ product=KCBP licensetype=0x32 expireddate=20171001 netaddress= thread#=0 cpu#=0, client#=0, function=0xf, reserved=0, license=0x2d80b0, password=
